symbol,date,year,Stock Price,Number of Shares,Market Capitalization,- Cash & Cash Equivalents,+ Total Debt,Enterprise Value
IMAX,2013-12-31,2013,27.36,6.7151025E7,1837252044.0,29546000.0,0.0,1807706044.0
IMAX,2012-12-31,2012,23.63,6.58541060417E7,1556132525.7653708,21336000.0,22000000.0,1556796525.7653708
IMAX,2011-12-31,2011,20.85,6.4503864E7,1344905564.4,18138000.0,110166000.0,1436933564.4
IMAX,2010-12-31,2010,25.57,6.3864759E7,1633021887.63,30390000.0,0.0,1602631887.63
IMAX,2009-12-31,2009,12.8,6.2303748E7,797487974.4000001,20081000.0,0.0,777406974.4000001
HD,2013-02-03,2013,70.47,1.499E9,105634530000.0,2494000000.0,10796000000.0,113936530000.0
HD,2012-01-29,2012,47.23,1.562E9,73773260000.0,1987000000.0,10788000000.0,82574260000.0
HD,2011-01-30,2011,36.76,1.648E9,60580480000.0,545000000.0,9749000000.0,69784480000.0
HD,2010-01-31,2010,31.36,1.683E9,52778880000.0,1421000000.0,9682000000.0,61039880000.0
MLCO,2013-12-31,2013,35.57,1.658059295E9,58977169123.15,2525422000.0,2813754000.0,59265501123.15
MLCO,2012-12-31,2012,15.37,1.653101002E9,25408162400.739998,3123873000.0,3194864000.0,25479153400.739998
MLCO,2011-12-31,2011,9.93,1.605658111E9,15944185042.23,1522831000.0,2325980000.0,16747334042.23
MLCO,2010-12-31,2010,6.14,1.59561755E9,9797091757.0,609209000.0,1839895000.0,11027777757.0
MLCO,2009-12-31,2009,4.53,1.321550399E9,5986623307.47,448717000.0,1798854000.0,7336760307.47
DHI,2013-09-30,2013,19.52,3.221E8,6287392000.0,936500000.0,3509000000.0,8859892000.0
DHI,2012-09-30,2012,20.76,3.181E8,6603756000.000001,1047700000.0,2493100000.0,8049156000.000001
DHI,2011-09-30,2011,11.61,0.0,0.0,0.0,0.0,0.0
DHI,2010-09-30,2010,10.43,3.18315144E8,3320026951.92,1363000000.0,0.0,1957026951.92
DHI,2009-09-30,2009,10.96,3.17098284E8,3475397192.6400003,2012500000.0,0.0,1462897192.6400003
HRB,2013-04-30,2013,29.27,2.73057E8,7992378390.0,1747584000.0,906680000.0,7151474390.0
HRB,2012-04-30,2012,16.68,2.97863E8,4968354840.0,1944334000.0,1040549000.0,4064569840.0
HRB,2011-04-30,2011,16.74,3.0923E8,5176510199.999999,1677844000.0,1053191000.0,4551857199.999999
